Species,EPU,sex,YEAR,MeanCond,nCond,n
Acadian Redfish,GOM,F,1992,97.09410197459695,76,27
Acadian Redfish,GOM,F,1993,99.37176170197188,140,27
Acadian Redfish,GOM,F,1994,96.73529672419791,90,27
Acadian Redfish,GOM,F,1995,96.71454254610224,110,27
Acadian Redfish,GOM,F,1996,99.16895659948699,181,27
Acadian Redfish,GOM,F,1997,99.19236452282708,202,27
Acadian Redfish,GOM,F,1998,102.195690630633,184,27
Acadian Redfish,GOM,F,1999,98.80069202979048,220,27
Acadian Redfish,GOM,F,2000,98.4770326590035,156,27
Acadian Redfish,GOM,F,2001,95.41137253578572,166,27
Acadian Redfish,GOM,F,2002,95.21064021515814,185,27
Acadian Redfish,GOM,F,2003,95.00415890820604,164,27
Acadian Redfish,GOM,F,2004,95.70546599446152,258,27
Acadian Redfish,GOM,F,2005,96.41038257405233,224,27
Acadian Redfish,GOM,F,2006,96.12976749448993,313,27
Acadian Redfish,GOM,F,2007,96.50759085823326,293,27
Acadian Redfish,GOM,F,2008,95.42400385783836,524,27
Acadian Redfish,GOM,F,2009,95.87898846272348,276,27
Acadian Redfish,GOM,F,2010,96.29461910274807,277,27
Acadian Redfish,GOM,F,2011,96.68851038812245,293,27
Acadian Redfish,GOM,F,2012,96.88487054610215,410,27
Acadian Redfish,GOM,F,2013,96.26390385820237,297,27
Acadian Redfish,GOM,F,2014,97.38028782112562,292,27
Acadian Redfish,GOM,F,2015,97.54838796233206,268,27
Acadian Redfish,GOM,F,2016,95.34422812578534,266,27
Acadian Redfish,GOM,F,2017,94.58334430134627,90,27
Acadian Redfish,GOM,F,2018,96.69941498937439,185,27
Acadian Redfish,GOM,M,1992,99.85636458411531,103,27
Acadian Redfish,GOM,M,1993,99.65843647622488,108,27
Acadian Redfish,GOM,M,1994,98.2989200919624,83,27
Acadian Redfish,GOM,M,1995,98.65207757713715,119,27
Acadian Redfish,GOM,M,1996,100.02752946193547,159,27
Acadian Redfish,GOM,M,1997,100.00933238754102,182,27
Acadian Redfish,GOM,M,1998,102.31842525164272,129,27
Acadian Redfish,GOM,M,1999,99.25505021933023,153,27
Acadian Redfish,GOM,M,2000,100.3928230633006,132,27
Acadian Redfish,GOM,M,2001,98.57157876067963,131,27
Acadian Redfish,GOM,M,2002,97.5745340933181,129,27
Acadian Redfish,GOM,M,2003,96.22498091523313,127,27
Acadian Redfish,GOM,M,2004,98.30857146510884,192,27
Acadian Redfish,GOM,M,2005,98.17446789455691,178,27
Acadian Redfish,GOM,M,2006,99.48828711859282,233,27
Acadian Redfish,GOM,M,2007,99.54721145009832,209,27
Acadian Redfish,GOM,M,2008,97.11240237384852,464,27
Acadian Redfish,GOM,M,2009,97.6324930675702,222,27
Acadian Redfish,GOM,M,2010,97.78378801616438,215,27
Acadian Redfish,GOM,M,2011,97.6848065701879,225,27
Acadian Redfish,GOM,M,2012,97.79488424094224,300,27
Acadian Redfish,GOM,M,2013,98.97818287589071,192,27
Acadian Redfish,GOM,M,2014,98.65602962519523,197,27
Acadian Redfish,GOM,M,2015,98.9429330160699,266,27
Acadian Redfish,GOM,M,2016,98.22963620754271,223,27
Acadian Redfish,GOM,M,2017,98.17350948396765,70,27
Acadian Redfish,GOM,M,2018,98.34271895449011,173,27
Acadian Redfish,SS,F,1992,99.76148314868433,52,27
Acadian Redfish,SS,F,1993,101.6787152671137,39,27
Acadian Redfish,SS,F,1994,99.36542839004018,69,27
Acadian Redfish,SS,F,1995,98.92474323395776,49,27
Acadian Redfish,SS,F,1996,102.62157440564816,23,27
Acadian Redfish,SS,F,1997,100.00885947146759,33,27
Acadian Redfish,SS,F,1998,103.61181192507618,62,27
Acadian Redfish,SS,F,1999,99.78608605678535,45,27
Acadian Redfish,SS,F,2000,98.63743418420408,44,27
Acadian Redfish,SS,F,2001,99.19023973942895,47,27
Acadian Redfish,SS,F,2002,96.88777761823127,30,27
Acadian Redfish,SS,F,2003,97.86121723768913,51,27
Acadian Redfish,SS,F,2004,99.88394538618373,85,27
Acadian Redfish,SS,F,2005,98.72749366448258,27,27
Acadian Redfish,SS,F,2006,99.23305597512116,32,27
