Species,SVSPP,EPU,YEAR,LENGTH,MeanCond,StdDevCond,nCond,n
Acadian Redfish,155,GB,1992,17,108.60675672386265,NaN,1,7
Acadian Redfish,155,GB,1992,20,109.4927601675803,NaN,1,7
Acadian Redfish,155,GB,1992,22,99.84000031851353,NaN,1,7
Acadian Redfish,155,GB,1992,23,91.1487906054917,NaN,1,7
Acadian Redfish,155,GB,1992,24,96.14395666301023,NaN,1,7
Acadian Redfish,155,GB,1992,25,98.51063894051765,NaN,1,7
Acadian Redfish,155,GB,1992,27,95.34404326377003,NaN,1,7
Acadian Redfish,155,GB,1993,24,102.63581710843386,NaN,1,2
Acadian Redfish,155,GB,1993,27,101.82199325468362,NaN,1,2
Acadian Redfish,155,GB,1994,16,96.98226447620674,NaN,1,7
Acadian Redfish,155,GB,1994,18,94.87483074926233,NaN,1,7
Acadian Redfish,155,GB,1994,20,90.55792194311152,NaN,1,7
Acadian Redfish,155,GB,1994,22,99.10747781770301,NaN,1,7
Acadian Redfish,155,GB,1994,24,91.90570895618849,NaN,1,7
Acadian Redfish,155,GB,1994,26,94.1648004144866,NaN,1,7
Acadian Redfish,155,GB,1994,33,95.05642088759441,NaN,1,7
Acadian Redfish,155,GB,1996,10,91.55706892443358,NaN,1,6
Acadian Redfish,155,GB,1996,13,97.65378017692518,NaN,1,6
Acadian Redfish,155,GB,1996,14,110.66986331869704,NaN,1,6
Acadian Redfish,155,GB,1996,15,107.1006333520603,NaN,1,6
Acadian Redfish,155,GB,1996,18,110.8778142491379,NaN,1,6
Acadian Redfish,155,GB,1996,21,96.17581733242002,NaN,1,6
Acadian Redfish,155,GB,1997,16,105.34280451725904,NaN,1,22
Acadian Redfish,155,GB,1997,17,100.35814228913888,NaN,1,22
Acadian Redfish,155,GB,1997,18,107.44860349916456,NaN,1,22
Acadian Redfish,155,GB,1997,19,100.78813961346209,NaN,1,22
Acadian Redfish,155,GB,1997,20,99.63459195653977,1.7253623415483377,2,22
Acadian Redfish,155,GB,1997,21,102.33554730618927,7.43843392310385,4,22
Acadian Redfish,155,GB,1997,22,104.90309373167902,2.1399795239199224,2,22
Acadian Redfish,155,GB,1997,23,106.53294089605347,NaN,1,22
Acadian Redfish,155,GB,1997,24,109.63371372946342,NaN,1,22
Acadian Redfish,155,GB,1997,25,100.09313916446172,NaN,1,22
Acadian Redfish,155,GB,1997,26,107.98048541738423,NaN,1,22
Acadian Redfish,155,GB,1997,27,104.28755955841524,8.982765085806593,4,22
Acadian Redfish,155,GB,1997,28,106.1781871371619,NaN,1,22
Acadian Redfish,155,GB,1997,29,103.04855854618904,6.798970649850871,3,22
Acadian Redfish,155,GB,1997,30,101.81607339739045,5.052219663192493,2,22
Acadian Redfish,155,GB,1997,32,97.05672526342613,7.688517142709321,2,22
Acadian Redfish,155,GB,1997,33,92.03672586926525,NaN,1,22
Acadian Redfish,155,GB,1997,34,94.81945551478724,NaN,1,22
Acadian Redfish,155,GB,1997,36,93.33600706490938,NaN,1,22
Acadian Redfish,155,GB,1997,37,92.062063292022,NaN,1,22
Acadian Redfish,155,GB,1997,40,96.93470308642188,NaN,1,22
Acadian Redfish,155,GB,1997,42,99.39279820461003,NaN,1,22
Acadian Redfish,155,GB,1999,23,97.47764091988893,NaN,1,9
Acadian Redfish,155,GB,1999,24,107.76760796385554,NaN,1,9
Acadian Redfish,155,GB,1999,26,97.07336567825453,NaN,1,9
Acadian Redfish,155,GB,1999,27,103.36651939599663,NaN,1,9
Acadian Redfish,155,GB,1999,29,92.35175888727402,NaN,1,9
Acadian Redfish,155,GB,1999,30,97.04527338359338,NaN,1,9
Acadian Redfish,155,GB,1999,31,95.19339381889563,NaN,1,9
Acadian Redfish,155,GB,1999,32,98.59891215915525,3.995040343440205,2,9
Acadian Redfish,155,GB,1999,35,88.61396133043628,NaN,1,9
Acadian Redfish,155,GB,2000,21,91.93276656775443,NaN,1,8
Acadian Redfish,155,GB,2000,25,96.95302956962854,NaN,1,8
Acadian Redfish,155,GB,2000,26,101.07264291593543,NaN,1,8
Acadian Redfish,155,GB,2000,27,98.5895490243762,NaN,1,8
Acadian Redfish,155,GB,2000,28,101.51402904586537,NaN,1,8
Acadian Redfish,155,GB,2000,29,100.43559985088154,NaN,1,8
Acadian Redfish,155,GB,2000,30,108.02324548580981,NaN,1,8
Acadian Redfish,155,GB,2000,33,99.89800429443285,NaN,1,8
Acadian Redfish,155,GB,2001,22,91.47017993253036,NaN,1,8
Acadian Redfish,155,GB,2001,24,106.83455508105159,NaN,1,8
Acadian Redfish,155,GB,2001,26,102.1633548898484,NaN,1,8
Acadian Redfish,155,GB,2001,27,97.29657133225324,NaN,1,8
Acadian Redfish,155,GB,2001,28,99.86341600384134,NaN,1,8
Acadian Redfish,155,GB,2001,29,87.2074964558874,NaN,1,8
Acadian Redfish,155,GB,2001,30,90.4584901222635,NaN,1,8
Acadian Redfish,155,GB,2001,35,87.14595895899832,NaN,1,8
Acadian Redfish,155,GB,2002,17,94.85906599932308,NaN,1,2
Acadian Redfish,155,GB,2002,27,108.61012613832919,NaN,1,2
Acadian Redfish,155,GB,2003,18,108.59167374915569,NaN,1,6
Acadian Redfish,155,GB,2003,19,101.41828427160446,NaN,1,6
Acadian Redfish,155,GB,2003,20,107.02299866004088,NaN,1,6
Acadian Redfish,155,GB,2003,21,103.95474373430693,NaN,1,6
Acadian Redfish,155,GB,2003,34,101.5608696626701,NaN,1,6
Acadian Redfish,155,GB,2003,39,92.9621625671413,NaN,1,6
Acadian Redfish,155,GB,2004,15,94.74286796528413,NaN,1,11
Acadian Redfish,155,GB,2004,21,105.60453450482952,NaN,1,11
Acadian Redfish,155,GB,2004,22,89.67664699267682,NaN,1,11
Acadian Redfish,155,GB,2004,27,93.18414584355517,NaN,1,11
Acadian Redfish,155,GB,2004,32,102.43818631841518,NaN,1,11
Acadian Redfish,155,GB,2004,33,107.0878445734496,NaN,1,11
Acadian Redfish,155,GB,2004,34,104.98724927574436,NaN,1,11
Acadian Redfish,155,GB,2004,35,103.41186765437213,NaN,1,11
Acadian Redfish,155,GB,2004,42,93.46774317005801,NaN,1,11
Acadian Redfish,155,GB,2004,44,89.86087398893162,NaN,1,11
Acadian Redfish,155,GB,2004,45,87.48156355683771,NaN,1,11
Acadian Redfish,155,GB,2005,17,87.41396935232419,NaN,1,2
Acadian Redfish,155,GB,2005,27,104.08470421589881,NaN,1,2
Acadian Redfish,155,GB,2006,20,97.60123293701854,NaN,1,13
Acadian Redfish,155,GB,2006,21,100.4188680970856,NaN,1,13
Acadian Redfish,155,GB,2006,22,102.77812514428462,NaN,1,13
Acadian Redfish,155,GB,2006,23,94.25613573976983,NaN,1,13
Acadian Redfish,155,GB,2006,24,87.56773517663844,NaN,1,13
Acadian Redfish,155,GB,2006,26,95.8526020113251,NaN,1,13
Acadian Redfish,155,GB,2006,27,94.06412710194581,NaN,1,13
Acadian Redfish,155,GB,2006,29,90.3920398657934,NaN,1,13
Acadian Redfish,155,GB,2006,32,107.30605805065663,NaN,1,13
Acadian Redfish,155,GB,2006,33,99.413845953749,NaN,1,13
Acadian Redfish,155,GB,2006,34,93.35393070003009,NaN,1,13
Acadian Redfish,155,GB,2006,35,89.68159941875479,NaN,1,13
Acadian Redfish,155,GB,2006,37,93.57320124523993,NaN,1,13
Acadian Redfish,155,GB,2008,17,95.60902897910461,NaN,1,4
Acadian Redfish,155,GB,2008,28,102.46101931029965,NaN,1,4
Acadian Redfish,155,GB,2008,34,87.33173588402761,NaN,1,4
Acadian Redfish,155,GB,2008,35,86.99271318000108,NaN,1,4
Acadian Redfish,155,GB,2009,12,88.92778675532041,NaN,1,1
Acadian Redfish,155,GB,2010,16,107.23375183106103,NaN,1,15
Acadian Redfish,155,GB,2010,18,97.15741488710346,NaN,1,15
